timestamp_sec,model_name,ns3_node_id,robot_x,robot_y,robot_z,distance_to_base,rssi_dbm,snr_db,packets_sent,packets_received,packets_lost,packet_loss_rate
12.1705,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1715,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1725,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1735,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1745,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1755,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1765,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1775,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1785,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1795,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1805,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1815,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1825,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1835,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1845,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1855,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1865,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1875,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1885,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1895,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1905,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1915,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1925,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1935,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1945,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1955,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1965,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1975,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1985,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.1995,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.2005,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.2015,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.2025,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.2035,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.2045,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.2056,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.2066,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.2076,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
12.2085,robot_2,2,-5,0,0,5,-30.6571,63.3089,4,11,0,0
